2023-05-22 14:50:04,574 p=12808 u=ubuntu n=ansible | TASK [Update hosts file for all the hosts] ******************************************************************************
2023-05-22 14:50:05,404 p=12808 u=ubuntu n=ansible | changed: [rmq01]
2023-05-22 14:50:05,405 p=12808 u=ubuntu n=ansible | changed: [app01]
2023-05-22 14:50:05,405 p=12808 u=ubuntu n=ansible | changed: [web01]
2023-05-22 14:50:05,406 p=12808 u=ubuntu n=ansible | changed: [mc01]
2023-05-22 14:50:05,453 p=12808 u=ubuntu n=ansible | changed: [cntl]
2023-05-22 14:50:05,716 p=12808 u=ubuntu n=ansible | changed: [db01]
2023-05-22 14:50:05,733 p=12808 u=ubuntu n=ansible | PLAY RECAP **************************************************************************************************************
2023-05-22 14:50:05,734 p=12808 u=ubuntu n=ansible | app01                      : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-05-22 14:50:05,734 p=12808 u=ubuntu n=ansible | cntl                       : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-05-22 14:50:05,734 p=12808 u=ubuntu n=ansible | db01                       : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-05-22 14:50:05,734 p=12808 u=ubuntu n=ansible | mc01                       : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-05-22 14:50:05,734 p=12808 u=ubuntu n=ansible | rmq01                      : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-05-22 14:50:05,734 p=12808 u=ubuntu n=ansible | web01                      : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
